timestamp,location,longitude,latitude,elevation,longitude(index),latitude(index),eMAS_file,Aeronet_file,cval_eMAS,nval_eMAS,meanval_eMAS_550,std_eMAS,nval_aeronet,std_aeronet,meanval_aeronet_550_intrp,meanval_aeronet_550_intrp_r2,meanval_aeronet_1640,meanval_aeronet_1020,meanval_aeronet_870,meanval_aeronet_675,meanval_aeronet_667,meanval_aeronet_555,meanval_aeronet_551,meanval_aeronet_532,meanval_aeronet_531,meanval_aeronet_500,meanval_aeronet_490,meanval_aeronet_443,meanval_aeronet_440,meanval_aeronet_412,meanval_aeronet_380,meanval_aeronet_340
2013-09-18 19:45:00,Cat_Spring,-96.326,29.829,90.0,335,58,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_21_20130918_1945_1954_20160628_1019.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/920801_160611_Cat_Spring.lev20,--,24,0.536125,0.16432521426,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-09-18 19:55:00,DRAGON_Conroe,-95.425,30.35,72.0,268,33,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_22_20130918_1955_2009_20160628_1020.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_Conroe.lev20,--,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-09-18 19:55:00,DRAGON_NW_Harris_CO,-95.674,30.039,51.0,147,4,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_22_20130918_1955_2009_20160628_1020.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_NW_Harris_CO.lev20,0.195,24,0.215125,0.0733923886267,3,0.012576264927505796,0.107963126014,0.998339137816,nan,0.029702999999999997,0.04781099999999999,0.07443899999999999,nan,nan,nan,nan,nan,0.12917366666666666,nan,nan,0.14594366666666667,nan,0.18203000000000003,0.21953733333333333
2013-09-18 20:13:00,DRAGON_Conroe,-95.425,30.35,72.0,266,39,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_23_20130918_2013_2028_20160628_1020.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_Conroe.lev20,--,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-09-18 20:13:00,DRAGON_NW_Harris_CO,-95.674,30.039,51.0,391,49,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_23_20130918_2013_2028_20160628_1020.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_NW_Harris_CO.lev20,--,10,0.7337,0.175052592097,3,0.025631190514018687,0.125904403578,0.998993668548,nan,0.035736333333333335,0.054972333333333324,0.08644633333333333,nan,nan,nan,nan,nan,0.1509886666666667,nan,nan,0.17404300000000003,nan,0.2198786666666667,0.2644006666666667
2013-09-18 20:32:00,DRAGON_Aldine,-95.326,29.901,20.0,150,7,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_24_20130918_2032_2045_20160628_1021.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_Aldine.lev20,--,9,0.378666666667,0.0652976092807,1,0.0,0.11650198593,0.986343350582,0.038832,0.044358999999999996,0.068236,0.076472,nan,nan,nan,nan,nan,0.144713,nan,nan,0.160727,nan,0.202795,0.241565
2013-09-18 20:32:00,DRAGON_UH_Sugarland,-95.652,29.574,22.0,10,6,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_24_20130918_2032_2045_20160628_1021.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_UH_Sugarland.lev20,--,9,0.519,0.083105020573,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-09-18 20:32:00,DRAGON_West_Houston,-95.657,29.833,34.0,70,50,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_24_20130918_2032_2045_20160628_1021.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_West_Houston.lev20,--,24,0.300541666667,0.0777945901968,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2013-09-18 20:49:00,DRAGON_Aldine,-95.326,29.901,20.0,326,2,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_25_20130918_2049_2101_20160628_1021.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_Aldine.lev20,--,1,0.238,0.0,2,0.012981000000000003,0.104236469739,0.983302270083,0.037350999999999995,0.041028499999999996,0.0632645,0.068769,nan,nan,nan,nan,nan,0.12965300000000002,nan,nan,0.1419265,nan,0.1789095,0.212949
2013-09-18 20:49:00,DRAGON_Channel_View,-95.126,29.802,10.0,314,50,/Volumes/NASA_Spencer/SEAC4RS/DATA/eMAS_Data/Sept/Emas_18Sept/eMASL2AER_13967_25_20130918_2049_2101_20160628_1021.hdf,/Volumes/NASA_Spencer/SEAC4RS/DATA/Aeronet_Data/130501_131101_DRAGON_Channel_View.lev20,--,6,0.201333333333,0.0120092556898,5,0.0034047804206057347,0.0929641644969,0.983145128322,0.04572,0.043809,0.06283180000000001,0.06635139999999999,nan,nan,nan,nan,nan,0.10837179999999999,nan,nan,0.1252636,nan,0.1543768,0.17948480000000003
